mmsi,mean_frequency,std_frequency,mean_bandwidth,mean_power,mean_signal_strength,mean_noise_level,mean_snr,mean_lat,mean_lon,nb_signatures,name,flag,type
208492908,159.3325,1.5486418781198614,27.15,257.975,-60.1,-100.35,36.4,-46.17085,-68.038375,4,NAVIRE-2908,Marshall Islands,Fishing Vessel
208551916,157.35714285714286,1.2332709121912897,34.08571428571428,248.84285714285716,-87.61428571428571,-92.25714285714285,24.12857142857143,-3.7942428571428577,25.103242857142853,7,NAVIRE-1916,China,Bulk Carrier
209428274,160.11777777777777,1.3850972689470034,31.5,296.56666666666666,-85.28888888888889,-90.22222222222223,17.84444444444445,7.245288888888889,38.12947777777778,9,NAVIRE-8274,Singapore,Passenger Ship
209766902,157.5375,1.3606799770702913,37.475,325.025,-81.6,-89.7,27.875,-16.685724999999998,32.024837500000004,8,NAVIRE-6902,Singapore,Tanker
210027019,157.79666666666665,2.1382313563628554,29.900000000000002,293.6333333333333,-35.266666666666666,-112.26666666666667,8.266666666666666,-18.111433333333334,-57.36346666666666,3,NAVIRE-7019,USA,General Cargo
210044819,159.57333333333335,1.7464917215186875,28.166666666666668,330.1333333333334,-69.93333333333334,-81.93333333333334,33.666666666666664,38.510600000000004,-30.861733333333337,3,NAVIRE-4819,Malta,Container Ship
211239944,161.94,,14.5,114.1,-109.0,-98.1,38.5,64.149,-111.2609,1,NAVIRE-9944,Singapore,Tanker
211394760,159.14249999999998,1.5662561518900215,25.55,190.925,-60.275,-102.875,24.35,11.7566,0.5950249999999997,4,NAVIRE-4760,Marshall Islands,Passenger Ship
211548097,158.85999999999999,1.7135635383609182,28.660000000000004,287.64,-65.08,-101.22,26.560000000000002,-3.3207400000000007,-63.07732,5,NAVIRE-8097,China,Passenger Ship
211617904,159.59125,1.9099546554078888,26.200000000000003,251.2625,-67.125,-77.3375,32.475,8.628124999999997,25.218987500000004,8,NAVIRE-7904,Bahamas,Passenger Ship
212186950,158.035,1.4199401395833624,39.300000000000004,294.25,-67.13333333333333,-88.91666666666667,35.28333333333333,-29.271366666666665,-10.4167,6,NAVIRE-6950,Denmark,Fishing Vessel
213287515,160.19,0.5909314681077692,17.666666666666668,242.63333333333333,-86.56666666666666,-91.66666666666667,28.53333333333333,-46.16603333333333,-10.771600000000001,3,NAVIRE-7515,Panama,Passenger Ship
213704539,158.9675,2.019758648947926,41.625,244.475,-65.4,-71.625,20.625,43.9062,29.207175,4,NAVIRE-4539,Malta,Container Ship
213740252,158.425,1.4008211877323815,31.650000000000002,338.575,-38.125,-92.05000000000001,27.125,34.4798,43.522175,4,NAVIRE-0252,Panama,Tanker
214748253,159.38285714285715,1.9762229486718157,28.642857142857142,195.68571428571428,-64.8,-91.62857142857142,30.557142857142857,-7.72482857142857,1.9062142857142865,7,NAVIRE-8253,Denmark,Container Ship
216417532,159.97666666666666,0.9487535682849075,28.433333333333334,361.43333333333334,-96.03333333333335,-77.03333333333333,32.36666666666667,-46.12623333333334,39.78986666666666,3,NAVIRE-7532,China,Passenger Ship
218251125,158.2625,2.367338519660141,31.95,362.425,-46.55,-109.375,33.099999999999994,0.3441250000000018,24.550675,4,NAVIRE-1125,Malta,Fishing Vessel
220627024,159.1275,1.8156426777682129,35.5,401.925,-96.025,-84.45,32.175,41.242825,-50.984475,4,NAVIRE-7024,Singapore,Fishing Vessel
221046878,157.74,1.9811915606523274,23.416666666666668,320.1166666666666,-66.83333333333333,-100.71666666666665,31.566666666666666,-14.641883333333334,9.655049999999996,6,NAVIRE-6878,Panama,Fishing Vessel
221716335,161.29333333333332,1.0793670985041866,30.566666666666666,266.40000000000003,-70.46666666666665,-82.16666666666667,30.433333333333337,28.0108,-79.52813333333334,3,NAVIRE-6335,France,General Cargo
222054856,157.35666666666665,1.4944653447526592,38.1,232.26666666666668,-62.31666666666666,-97.66666666666667,39.1,-28.562849999999997,-25.550916666666666,6,NAVIRE-4856,USA,Passenger Ship
222807422,159.565,0.6010407640085815,30.15,277.1,-73.8,-78.0,22.55,-29.03735,-76.6041,2,NAVIRE-7422,Panama,Bulk Carrier
224255892,158.9625,2.209802027331859,33.775,339.95,-71.625,-109.25,13.875,0.39750000000000085,42.978449999999995,4,NAVIRE-5892,France,Bulk Carrier
224383026,159.18714285714285,0.9263677147100754,30.057142857142857,229.6,-61.871428571428574,-88.57142857142857,20.0,14.060057142857143,-27.80347142857143,7,NAVIRE-3026,USA,General Cargo
224472298,159.45428571428573,2.059230091910219,31.75714285714286,331.8,-61.41428571428571,-102.38571428571429,21.814285714285713,-32.131099999999996,-84.3248,7,NAVIRE-2298,France,Bulk Carrier
224497350,158.438,1.5855976791103015,25.639999999999997,210.48000000000002,-72.67999999999999,-88.82000000000001,23.740000000000002,20.463240000000003,-8.691279999999995,5,NAVIRE-7350,Denmark,Tanker
224756004,160.464,1.403595383292487,32.22,138.92,-67.58,-86.46000000000001,13.9,20.529519999999998,-121.3632,5,NAVIRE-6004,France,Fishing Vessel
225377906,160.05,,15.8,487.1,-111.2,-115.2,1.8,38.8773,-145.2109,1,NAVIRE-7906,Singapore,Container Ship
225857489,160.57999999999998,1.9091883092037005,19.15,351.65,-35.3,-84.35,33.25,-78.01015000000001,-111.04400000000001,2,NAVIRE-7489,China,General Cargo
226103089,159.525,2.0454706059975516,27.95,158.36666666666665,-71.21666666666665,-85.05,18.266666666666666,9.134533333333334,45.97025,6,NAVIRE-3089,Panama,Passenger Ship
226542358,158.262,1.7607867559701842,20.1,378.1,-105.17999999999999,-94.16,25.660000000000004,-32.04688,36.780280000000005,5,NAVIRE-2358,USA,Bulk Carrier
226809877,159.4975,1.1968674390535798,28.3,178.05,-47.675,-83.52499999999999,15.275,16.60125,-28.009025,4,NAVIRE-9877,Denmark,Fishing Vessel
227501683,157.864,1.71529297789037,28.459999999999997,328.92,-80.86,-89.78,32.14,-25.12228,30.018939999999997,5,NAVIRE-1683,Panama,Tanker
229631895,160.9325,1.0566101457017996,26.475,166.6,-50.775,-107.425,28.725,-7.7835,-55.805475,4,NAVIRE-1895,France,Tanker
229818721,158.3,2.180114675882911,33.980000000000004,285.42,-63.260000000000005,-96.02000000000001,25.1,4.30064,88.46912,5,NAVIRE-8721,Panama,Tanker
230810621,157.81625,1.317583692110026,27.5875,261.5,-67.69999999999999,-86.3875,29.475,-3.3751625,19.416924999999996,8,NAVIRE-0621,Malta,Tanker
231663168,156.38,,44.4,114.1,-117.8,-108.2,10.3,7.6209,-25.7887,1,NAVIRE-3168,Marshall Islands,Bulk Carrier
231960753,160.15,2.5079673044120745,32.733333333333334,217.63333333333333,-53.9,-98.5,31.96666666666667,3.717899999999999,-37.40873333333334,3,NAVIRE-0753,Marshall Islands,General Cargo
232381331,159.95499999999998,1.803122292025674,27.05,359.1,-78.7,-79.65,25.1,30.298599999999997,-20.806949999999997,2,NAVIRE-1331,USA,Passenger Ship
232898606,159.61909090909091,1.63170128727935,29.44545454545454,216.71818181818182,-60.13636363636363,-97.95454545454545,31.38181818181818,3.5047363636363644,35.35150909090908,11,NAVIRE-8606,France,General Cargo
232986245,158.39333333333335,1.0451953565402532,28.8,175.76666666666665,-78.73333333333333,-87.5,20.46666666666667,7.943466666666666,-49.07750000000001,3,NAVIRE-6245,France,General Cargo
233953583,159.2725,0.9034148179730794,28.5,168.2,-66.925,-100.85,24.975,-25.875975,-10.546375000000003,4,NAVIRE-3583,Singapore,Bulk Carrier
234821769,157.91333333333333,1.122687252384505,28.066666666666666,204.58333333333334,-58.56666666666666,-93.26666666666667,25.53333333333333,22.181083333333333,-42.901250000000005,6,NAVIRE-1769,Marshall Islands,Container Ship
236109802,159.55625,2.398546807071784,26.325,260.3375,-66.875,-97.0375,15.0,8.6825375,-38.8696875,8,NAVIRE-9802,Liberia,Bulk Carrier
236409764,159.69000000000003,1.944556504707433,23.96666666666667,326.8333333333333,-34.93333333333333,-87.36666666666667,42.63333333333333,-43.926899999999996,80.8207,3,NAVIRE-9764,Marshall Islands,Container Ship
236576735,159.32375,1.8119991918951124,32.5,274.525,-88.6,-86.95,18.612499999999997,13.1807625,-6.398312499999999,8,NAVIRE-6735,Denmark,Fishing Vessel
236700807,160.1925,2.4144892489578997,23.75,96.525,-60.475,-102.35,23.55,23.072375,1.8310000000000048,4,NAVIRE-0807,Singapore,Tanker
236799075,159.3114285714286,1.6445914241479376,30.071428571428573,266.7,-73.07142857142857,-88.54285714285713,28.842857142857145,-17.107542857142857,10.236128571428575,7,NAVIRE-9075,Liberia,Fishing Vessel
237361564,159.64875,1.6247499807662837,35.1125,327.8625,-64.66250000000001,-82.4625,25.6875,-4.783525,-63.998225000000005,8,NAVIRE-1564,Malta,Passenger Ship
238178908,158.40666666666667,1.4770691701248662,32.36666666666667,137.9,-65.43333333333334,-88.0,8.533333333333333,5.865266666666666,55.389399999999995,3,NAVIRE-8908,Marshall Islands,Bulk Carrier
239547546,158.78166666666667,1.7722236502954807,23.883333333333336,136.96666666666667,-67.18333333333334,-93.64999999999999,16.483333333333334,-18.856983333333332,-36.38548333333333,6,NAVIRE-7546,Liberia,General Cargo
239574544,158.29000000000002,1.2155862783036067,26.439999999999998,224.98000000000002,-68.7,-94.34,17.5,-52.25596,-5.754680000000001,5,NAVIRE-4544,China,Passenger Ship
240011469,159.03666666666666,2.51068649310635,38.733333333333334,236.0666666666667,-71.71666666666665,-87.55,29.05,3.3785666666666665,14.080300000000003,6,NAVIRE-1469,Liberia,Passenger Ship
242221601,159.29,0.6646803743153531,33.7,179.9,-65.05,-92.65,22.65,62.54365,-17.7359,2,NAVIRE-1601,Denmark,Fishing Vessel
242442486,157.2425,1.8825758063532743,23.075,294.75,-55.45,-89.725,29.5,-0.7545750000000013,10.573700000000002,4,NAVIRE-2486,France,Container Ship
242569188,158.66533333333334,1.8732548704124055,29.06,237.91333333333333,-59.080000000000005,-90.60666666666665,27.806666666666665,-23.84136,15.826506666666665,15,NAVIRE-9188,Liberia,Container Ship
243740029,158.542,1.0557793330047869,31.6,243.94,-60.56,-95.24,26.28,24.025560000000002,13.229879999999998,5,NAVIRE-0029,USA,Fishing Vessel
244246514,159.4,3.012274887854686,29.7,366.6,-57.55,-93.0,40.5,-38.8148,-63.03965,2,NAVIRE-6514,Bahamas,Tanker
245445168,158.41,0.42883563284783593,37.739999999999995,295.76,-98.4,-90.94,29.5,-13.005380000000002,67.44232000000001,5,NAVIRE-5168,France,Tanker
245472810,159.356,1.9806009189132416,27.78,319.91999999999996,-70.42,-92.84,18.7,-13.1638,31.45036,5,NAVIRE-2810,Panama,Bulk Carrier
245760948,159.22500000000002,1.8314065632731504,28.3,191.1,-100.25,-98.5,29.35,64.6234,-2.5871000000000066,2,NAVIRE-0948,China,Container Ship
245808653,161.05,,30.0,221.7,-86.1,-114.8,16.6,74.8387,155.4364,1,NAVIRE-8653,Malta,Tanker
246056778,158.2475,1.6099131823006738,33.449999999999996,225.26666666666665,-59.13333333333333,-85.61666666666667,30.5,30.10145833333333,50.391391666666664,12,NAVIRE-6778,France,Fishing Vessel
247443252,159.555,1.6800016534383397,35.089999999999996,246.94,-69.61,-83.11,28.360000000000003,-14.40289,-3.3440099999999964,10,NAVIRE-3252,Malta,Tanker
247512338,159.054,1.5923347637981158,29.839999999999996,218.4,-66.8,-83.34,21.14,-12.649899999999999,9.616859999999997,5,NAVIRE-2338,Panama,Passenger Ship
248068308,157.79,0.3535533905932738,24.650000000000002,104.15,-68.05,-78.5,21.700000000000003,29.954449999999998,-10.8957,2,NAVIRE-8308,Marshall Islands,Passenger Ship
248607497,159.152,1.9223215131709843,38.7,236.06,-57.96,-94.82000000000001,22.62,-0.26844000000000107,22.8781,5,NAVIRE-7497,France,Bulk Carrier
249217423,159.61333333333334,1.4419546918448436,25.733333333333334,434.2,-80.46666666666667,-104.06666666666666,18.866666666666667,-15.66046666666667,-7.900799999999999,3,NAVIRE-7423,Denmark,Fishing Vessel
249354554,158.298,1.8503432114070104,30.759999999999998,412.84,-79.84,-84.46000000000001,19.119999999999997,23.425720000000002,26.123220000000003,5,NAVIRE-4554,France,Bulk Carrier
249938716,159.25,1.7029582104874668,25.200000000000003,305.0,-59.175,-99.35,15.65,18.363149999999997,-46.38080000000001,4,NAVIRE-8716,Panama,Container Ship
249974230,158.54333333333332,1.4336085007188564,17.466666666666665,191.79999999999998,-46.63333333333333,-94.26666666666667,34.733333333333334,-58.37003333333333,68.7559,3,NAVIRE-4230,Panama,Container Ship
250320883,159.25,1.5504837954651487,27.650000000000002,252.28333333333333,-64.61666666666666,-77.68333333333334,17.516666666666666,12.864983333333335,1.6165666666666685,6,NAVIRE-0883,Marshall Islands,General Cargo
251261537,160.20999999999998,0.2545584412271366,13.0,349.4,-79.4,-87.35,24.85,-8.44845,76.5181,2,NAVIRE-1537,Malta,Passenger Ship
251603728,157.8075,1.6876290074144489,39.1,208.675,-71.025,-98.375,4.975,-14.616900000000001,5.112725000000001,4,NAVIRE-3728,China,Fishing Vessel
252620067,159.79222222222222,1.442651879160198,21.866666666666667,375.0222222222222,-63.86666666666666,-98.85555555555555,27.166666666666668,-31.050588888888893,41.92897777777778,9,NAVIRE-0067,Malta,Passenger Ship
252789184,158.555,1.7324116139070334,26.049999999999997,375.20000000000005,-87.4,-77.35,32.55,-41.807249999999996,87.4151,2,NAVIRE-9184,USA,Fishing Vessel
253462026,159.165,2.065034301571444,24.475,248.175,-95.6,-93.35,27.0,40.71585,-92.16495,4,NAVIRE-2026,China,Container Ship
254059131,158.5175,1.2238434773870719,37.05,144.125,-83.4875,-95.1875,31.4125,-30.4885875,50.798475,8,NAVIRE-9131,China,Fishing Vessel
254445689,159.06400000000002,1.4008497421208366,30.0,323.98,-45.8,-95.2,21.880000000000003,16.63118,-61.2943,5,NAVIRE-5689,Denmark,General Cargo
254528621,157.98,0.7030789429359985,28.683333333333334,237.36666666666667,-60.76666666666667,-89.03333333333335,33.550000000000004,-2.064600000000001,-5.796216666666666,6,NAVIRE-8621,USA,Passenger Ship
255660986,158.94,,35.3,138.2,-77.8,-79.3,20.5,81.3633,-17.4478,1,NAVIRE-0986,Singapore,General Cargo
256138286,158.75333333333333,1.5878392026062662,38.766666666666666,245.4333333333333,-46.76666666666667,-106.56666666666666,28.2,-13.9821,-14.3628,3,NAVIRE-8286,Bahamas,Tanker
256362827,159.035,0.5161879502661926,40.400000000000006,403.29999999999995,-67.0,-85.95,23.8,11.83485,11.4437,2,NAVIRE-2827,USA,Bulk Carrier
258157843,159.235,0.1909188309203851,17.6,253.05,-63.9,-96.15,36.25,-57.372150000000005,45.4754,2,NAVIRE-7843,Liberia,Passenger Ship
258846593,158.53375,2.068235531627311,26.2875,240.875,-54.574999999999996,-93.55,26.4625,-12.797537499999999,-16.157649999999997,8,NAVIRE-6593,China,Tanker
258954341,160.02,1.5912573644762897,26.899999999999995,257.73333333333335,-90.76666666666667,-76.2,12.1,-51.74863333333334,66.9002,3,NAVIRE-4341,France,Bulk Carrier
259203883,158.659,1.4783883867990328,31.02,292.11,-66.11,-96.1,26.110000000000003,10.735409999999998,22.57802,10,NAVIRE-3883,Malta,Passenger Ship
260273820,159.87166666666667,2.0249386821992026,31.366666666666664,260.71666666666664,-73.71666666666667,-86.63333333333333,34.81666666666667,24.000133333333338,-14.416316666666667,6,NAVIRE-3820,Bahamas,Bulk Carrier
260362728,159.35333333333332,2.546710296310385,34.666666666666664,233.33333333333334,-67.0,-74.16666666666667,13.733333333333333,-0.0576666666666649,9.404666666666666,3,NAVIRE-2728,Panama,Container Ship
260490181,158.74666666666667,1.4756377152494584,35.516666666666666,152.23333333333332,-72.83333333333333,-96.98333333333333,25.166666666666668,10.8829,-41.94531666666667,6,NAVIRE-0181,Panama,Fishing Vessel
260690058,158.85666666666665,2.154833326887875,25.46666666666667,150.9,-69.7,-89.51666666666667,20.983333333333334,19.876316666666668,34.807583333333326,6,NAVIRE-0058,France,Passenger Ship
260756426,158.85,0.5534256951027734,29.349999999999998,166.5,-59.083333333333336,-86.51666666666667,30.766666666666666,14.957483333333334,42.301500000000004,6,NAVIRE-6426,Singapore,Container Ship
260984664,159.07333333333332,0.8132855177201541,18.533333333333335,230.63333333333333,-32.666666666666664,-89.93333333333334,28.766666666666666,42.87866666666667,-81.88893333333333,3,NAVIRE-4664,Panama,Fishing Vessel
263371036,158.7625,1.3841092201605187,27.575000000000003,63.45,-64.325,-96.575,24.525,35.39015,52.51865,4,NAVIRE-1036,Bahamas,Fishing Vessel
264651594,158.81571428571428,1.739395078208298,28.957142857142856,149.18571428571428,-57.25714285714286,-86.34285714285714,18.75714285714286,-3.5045857142857133,28.00041428571429,7,NAVIRE-1594,Malta,Container Ship
266304575,158.898,2.3982222582571437,21.9,227.98000000000002,-81.66,-89.06,15.64,7.65346,52.80445999999999,5,NAVIRE-4575,Panama,General Cargo
266578761,160.2125,1.9843785761122694,31.225,333.3,-49.275,-86.65,21.425,-47.794875,-42.8179,4,NAVIRE-8761,France,Fishing Vessel
267514528,158.44,1.4986327101728334,22.433333333333334,333.7,-89.89999999999999,-77.39999999999999,16.233333333333334,-55.6832,-96.38190000000002,3,NAVIRE-4528,Marshall Islands,General Cargo
269833961,158.5,1.059716943339115,37.325,293.8,-37.1,-81.425,38.8,-6.521699999999999,-103.004225,4,NAVIRE-3961,France,General Cargo
270127453,159.03777777777776,2.2427872044499524,25.200000000000003,211.27777777777777,-71.25555555555555,-93.1,27.811111111111114,-4.199966666666665,-41.15001111111111,9,NAVIRE-7453,China,General Cargo
270308779,158.31285714285715,1.9008920211812244,28.900000000000002,312.5142857142857,-88.94285714285715,-90.97142857142856,20.214285714285715,-8.176885714285714,-95.26488571428571,7,NAVIRE-8779,China,General Cargo
270851441,157.54,1.7007057358638036,33.800000000000004,290.06666666666666,-58.43333333333334,-80.73333333333333,17.400000000000002,4.716066666666667,55.07416666666668,3,NAVIRE-1441,Marshall Islands,General Cargo
271063396,158.41666666666666,1.9461723116586178,36.6,360.7833333333333,-57.03333333333333,-77.98333333333333,22.366666666666664,9.48785,20.537166666666664,6,NAVIRE-3396,Singapore,Bulk Carrier
272130864,161.14333333333335,0.5312563725107986,38.93333333333333,320.96666666666664,-57.300000000000004,-82.60000000000001,31.5,45.91693333333333,76.5802,3,NAVIRE-0864,Singapore,Tanker
272132718,160.07285714285715,1.6321429092424817,27.157142857142855,152.04285714285714,-57.214285714285715,-76.64285714285714,19.728571428571428,-6.448414285714286,-47.201771428571426,7,NAVIRE-2718,Liberia,General Cargo
272481430,159.13000000000002,1.966176492586559,31.76,99.36,-71.06,-77.56,24.64,15.039760000000001,-31.229060000000004,5,NAVIRE-1430,Marshall Islands,Fishing Vessel
272653360,158.55599999999998,2.161476347314501,25.0,187.28,-70.22,-83.17999999999999,23.6,38.722699999999996,29.937499999999993,5,NAVIRE-3360,Marshall Islands,Tanker
272658165,159.92666666666668,1.7412256219877635,28.916666666666668,307.6666666666667,-88.33333333333333,-86.08333333333333,25.866666666666664,29.245783333333332,-19.181816666666666,6,NAVIRE-8165,China,Container Ship
272713588,158.718,1.4787900459497199,25.72,301.4,-87.56,-86.47999999999999,27.3,3.1641199999999996,23.849580000000003,5,NAVIRE-3588,Singapore,Fishing Vessel
273148379,159.445,1.5478264329913267,34.45,227.15,-42.0,-87.1,30.45,15.032050000000002,16.7809,4,NAVIRE-8379,Panama,Passenger Ship
273564660,157.57333333333335,0.4631774318048412,32.9,124.90000000000002,-64.86666666666666,-94.39999999999999,34.86666666666667,4.436766666666664,-44.53933333333333,3,NAVIRE-4660,France,Bulk Carrier
273664882,158.645,1.9631479821959457,32.0,222.71666666666667,-52.35,-93.61666666666667,22.96666666666667,3.7613000000000008,19.399783333333332,6,NAVIRE-4882,Bahamas,Bulk Carrier
274434905,158.428,1.430513893675963,25.98,246.26,-92.28,-76.62,23.82,15.564400000000001,-8.56656,5,NAVIRE-4905,Liberia,Tanker
274778707,159.2525,1.648158062808303,29.65,182.14999999999998,-66.775,-82.05,22.0,-6.594525000000001,81.3306,4,NAVIRE-8707,Malta,Fishing Vessel
274897537,159.57333333333335,2.556760971750524,27.5,217.58333333333334,-82.39999999999999,-86.85000000000001,18.983333333333334,25.202266666666663,-1.6237499999999987,6,NAVIRE-7537,Malta,Fishing Vessel
275200104,159.22500000000002,1.209152595828992,25.95,216.10000000000002,-64.80000000000001,-62.85,12.05,-36.437,107.69725,2,NAVIRE-0104,Bahamas,Container Ship
275369472,159.23142857142855,1.874579317886449,36.01428571428571,220.77142857142857,-72.27142857142857,-91.04285714285713,24.814285714285713,6.738028571428572,-26.031399999999998,7,NAVIRE-9472,China,Tanker
275509216,158.5725,1.7357491178162852,38.7,299.425,-88.75,-91.9,24.3,21.3877,-43.433125000000004,4,NAVIRE-9216,Marshall Islands,Container Ship
275630215,158.269,1.7527023579477363,28.1,262.39,-75.75,-90.45,27.48,0.28319999999999934,2.3925000000000054,10,NAVIRE-0215,Panama,Fishing Vessel
277439544,159.63857142857142,1.732516749042931,30.957142857142856,352.59999999999997,-89.94285714285715,-85.82857142857142,28.142857142857142,-7.606928571428571,6.697871428571426,7,NAVIRE-9544,Singapore,Bulk Carrier
278144112,159.61399999999998,2.3464292020003543,32.4,220.8,-76.4,-87.36,32.980000000000004,6.815440000000001,51.857479999999995,5,NAVIRE-4112,Liberia,Passenger Ship
279762531,159.7475,0.9429872745694946,28.4,117.025,-75.75,-102.275,23.275000000000002,12.885925,-77.51554999999999,4,NAVIRE-2531,Bahamas,Bulk Carrier
279944509,158.493,1.953356370740141,27.380000000000003,241.47999999999996,-72.61,-86.55,32.05,11.14264,-11.848539999999998,10,NAVIRE-4509,France,Tanker
280901691,157.315,0.5868986283848232,18.7,210.55,-49.65,-91.25,34.5,23.35065,-7.53994999999999,2,NAVIRE-1691,France,Passenger Ship
281753993,158.975,2.33287590754416,27.100000000000005,276.0,-90.28333333333335,-84.3,24.333333333333332,2.6025000000000014,-1.1194666666666724,6,NAVIRE-3993,Marshall Islands,Container Ship
282716427,160.1125,1.188034090419973,37.375,285.125,-58.050000000000004,-93.95,16.85,-30.6729,43.989025,4,NAVIRE-6427,Panama,Container Ship
283205861,159.24333333333334,1.6574780038761652,40.9,197.4333333333333,-54.73333333333333,-71.60000000000001,32.1,46.4744,-108.81076666666667,3,NAVIRE-5861,Denmark,Fishing Vessel
283486500,158.1916666666667,2.0042795879484196,28.316666666666666,167.04999999999998,-58.15,-100.89999999999999,24.166666666666668,5.6812666666666685,12.616166666666667,6,NAVIRE-6500,Panama,Fishing Vessel
284896056,158.14249999999998,0.298817112406008,30.325,320.775,-69.85,-92.725,31.15,15.301200000000001,31.56855,4,NAVIRE-6056,Liberia,General Cargo
285312502,159.0188888888889,1.4979689953771127,34.65555555555555,291.17777777777775,-82.57777777777778,-78.82222222222222,19.211111111111112,1.864611111111112,94.96102222222221,9,NAVIRE-2502,Liberia,Container Ship
285869970,159.30166666666668,2.122134931305416,31.116666666666664,215.23333333333335,-43.51666666666667,-94.7,40.1,-20.7953,-0.7927666666666712,6,NAVIRE-9970,Panama,General Cargo
286026287,159.09714285714287,1.820665759969079,25.428571428571427,257.6714285714286,-76.60000000000001,-97.12857142857142,20.12857142857143,14.522257142857143,71.25162857142857,7,NAVIRE-6287,Marshall Islands,Container Ship
286089776,157.93166666666667,1.4231151276922855,28.88333333333333,224.85000000000002,-74.85000000000001,-93.0,22.96666666666667,-21.322933333333335,-7.786916666666666,6,NAVIRE-9776,Singapore,Bulk Carrier
286169281,160.11777777777777,2.1288011754140967,27.022222222222222,153.7,-70.65555555555555,-91.71111111111111,35.25555555555556,-10.990277777777777,39.699288888888894,9,NAVIRE-9281,Marshall Islands,Bulk Carrier
287106487,159.42666666666665,2.311602618675342,30.71666666666667,192.75,-61.01666666666667,-101.11666666666667,14.6,-8.1359,-34.98711666666667,6,NAVIRE-6487,Singapore,Container Ship
287767589,159.14833333333334,2.2536585071094226,28.849999999999998,225.98333333333335,-81.11666666666666,-91.96666666666665,21.233333333333334,-3.617733333333334,43.64626666666666,6,NAVIRE-7589,Malta,Bulk Carrier
287792665,159.55714285714288,1.2232431522488996,40.371428571428574,238.7428571428571,-70.57142857142857,-91.28571428571429,24.285714285714285,27.75485714285714,41.13655714285715,7,NAVIRE-2665,Malta,Tanker
288065994,159.275,1.4835205874315793,27.525000000000002,289.875,-67.925,-78.8,25.575,-40.875175,8.129874999999997,4,NAVIRE-5994,Malta,General Cargo
288338344,159.47,1.4324570965070205,24.775,229.725,-37.7,-91.75,26.45,-19.806449999999998,43.1246,4,NAVIRE-8344,Panama,Bulk Carrier
288344510,158.495,1.8074675346707827,26.169999999999998,234.14000000000001,-77.14,-88.14,30.47,-17.1226,30.656369999999992,10,NAVIRE-4510,Malta,Tanker
288730213,158.2242857142857,1.322810860035767,35.75714285714286,218.18571428571428,-82.08571428571429,-87.02857142857144,24.37142857142857,4.304457142857143,40.08208571428572,7,NAVIRE-0213,Liberia,General Cargo
288924361,159.08599999999998,1.9087509004582086,36.620000000000005,262.78000000000003,-75.66,-96.82000000000001,22.7,-17.71096,7.251660000000004,5,NAVIRE-4361,Bahamas,Fishing Vessel
289401636,159.744,1.5956412852239397,36.57,266.68,-76.97999999999999,-91.78999999999999,25.580000000000002,-1.95337,-40.576800000000006,10,NAVIRE-1636,Bahamas,Tanker
